15,右膝前摆,255,16,14,0.052799,-0.060532,0.153259,0.898004,0.000000,0.439988,0.002170,0.999988,-0.004429,-0.439983,0.004932,0.897993,0.801065,-0.000000,-0.012000,0.000000
16,右踝前摆,255,17,15,0.000000,-0.060000,0.045500,1.000000,0.000000,0.000108,0.000000,0.999988,-0.004932,-0.000108,0.004932,0.999988,-0.455477,-0.000000,-0.012000,0.000000
17,右踝侧摆,255,18,16,0.000000,-0.060000,0.045500,1.000000,-0.000001,0.000108,0.000000,0.999999,0.001029,-0.000108,-0.001029,0.999999,-0.005961,-0.000000,-0.012000,0.000000
18,右脚端,255,255,17,-0.000005,-0.060047,0.000000,1.000000,-0.000001,0.000108,0.000000,0.999999,0.001029,-0.000108,-0.001029,0.999999,0.000000,-0.000000,-0.012000,0.000000
19,左髋前摆,255,20,0,0.000003,0.044345,0.300054,0.942315,-0.000000,-0.334729,-0.000344,0.999999,-0.000969,0.334728,0.001029,0.942314,-0.341210,-0.000000,-0.012000,0.000000
20,左髋侧摆,255,21,19,0.000003,0.044345,0.300054,0.942315,-0.019042,-0.334187,-0.000344,0.998325,-0.057855,0.334728,0.054632,0.940730,0.056918,-0.000000,-0.012000,0.000000
21,左髋旋转,255,22,20,0.036497,0.050663,0.197327,0.942507,-0.000000,-0.334187,-0.020514,0.998114,-0.057855,0.333556,0.061384,0.940730,-0.020205,-0.000000,-0.012000,0.000000
22,左膝前摆,255,23,21,0.052103,0.053364,0.153395,0.900820,-0.000000,0.434192,0.026652,0.998114,-0.055296,-0.433373,0.061384,0.899122,0.789883,-0.000000,-0.012000,0.000000
23,左踝前摆,255,24,22,-0.000000,0.060000,0.045500,1.000000,-0.000000,0.000108,0.000007,0.998114,-0.061384,-0.000108,0.061384,0.998114,-0.449033,-0.000000,-0.012000,0.000000
24,左踝侧摆,255,25,23,-0.000000,0.060000,0.045500,1.000000,-0.000007,0.000108,0.000007,0.999999,0.001029,-0.000108,-0.001029,0.999999,-0.062451,-0.000000,-0.012000,0.000000
